candidate,party,votes,percentage,year,region,region_clean,category,source,search_text
John Dramani Mahama,NDC,144244,62.97,2020,Northern Region,Savannah Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 144244 votes, representing 62.97%, in Northern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,503,0.22,2020,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 503 votes, representing 0.22%, in Northern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,344,0.15,2020,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 344 votes, representing 0.15%, in Northern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,435,0.19,2020,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 435 votes, representing 0.19%, in Northern Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,322,0.14,2020,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 322 votes, representing 0.14%, in Northern Region region. The record category is Others."
Hassan Ayariga,APC,387,0.17,2020,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 387 votes, representing 0.17%, in Northern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,160,0.07,2020,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 160 votes, representing 0.07%, in Northern Region region. The record category is Others."
Akua Donkor,GFP,212,0.09,2020,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 212 votes, representing 0.09%, in Northern Region region. The record category is Others."
Christian Kwabena Andrews,GUM,1409,0.62,2020,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 1409 votes, representing 0.62%, in Northern Region region. The record category is Others."
Henry Herbert Lartey,GCPP,185,0.08,2020,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 185 votes, representing 0.08%, in Northern Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,279,0.12,2020,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 279 votes, representing 0.12%, in Northern Region region. The record category is Others."
Nana Akufo Addo,NPP,170340,32.84,2020,Upper East Region,Upper East Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 170340 votes, representing 32.84%, in Upper East Region region. The record category is NPP."
John Dramani Mahama,NDC,335502,64.68,2020,Upper East Region,Upper East Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 335502 votes, representing 64.68%, in Upper East Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,879,0.17,2020,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 879 votes, representing 0.17%, in Upper East Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,2890,0.56,2020,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 2890 votes, representing 0.56%, in Upper East Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,1321,0.25,2020,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 1321 votes, representing 0.25%, in Upper East Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,868,0.17,2020,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 868 votes, representing 0.17%, in Upper East Region region. The record category is Others."
Hassan Ayariga,APC,919,0.18,2020,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 919 votes, representing 0.18%, in Upper East Region region. The record category is Others."
Bridget Dzogbenuku,PPP,685,0.13,2020,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 685 votes, representing 0.13%, in Upper East Region region. The record category is Others."
Akua Donkor,GFP,832,0.16,2020,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 832 votes, representing 0.16%, in Upper East Region region. The record category is Others."
Christian Kwabena Andrews,GUM,3100,0.6,2020,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 3100 votes, representing 0.6%, in Upper East Region region. The record category is Others."
Henry Herbert Lartey,GCPP,359,0.07,2020,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 359 votes, representing 0.07%, in Upper East Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,1017,0.2,2020,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 1017 votes, representing 0.2%, in Upper East Region region. The record category is Others."
Nana Akufo Addo,NPP,121230,32.8,2020,Upper West Region,Upper West Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 121230 votes, representing 32.8%, in Upper West Region region. The record category is NPP."
John Dramani Mahama,NDC,238972,64.65,2020,Upper West Region,Upper West Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 238972 votes, representing 64.65%, in Upper West Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,640,0.17,2020,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 640 votes, representing 0.17%, in Upper West Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,2794,0.76,2020,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 2794 votes, representing 0.76%, in Upper West Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,1094,0.3,2020,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 1094 votes, representing 0.3%, in Upper West Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,742,0.2,2020,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 742 votes, representing 0.2%, in Upper West Region region. The record category is Others."
Hassan Ayariga,APC,487,0.13,2020,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 487 votes, representing 0.13%, in Upper West Region region. The record category is Others."
Bridget Dzogbenuku,PPP,328,0.09,2020,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 328 votes, representing 0.09%, in Upper West Region region. The record category is Others."
Akua Donkor,GFP,360,0.1,2020,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 360 votes, representing 0.1%, in Upper West Region region. The record category is Others."
Christian Kwabena Andrews,GUM,2240,0.61,2020,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 2240 votes, representing 0.61%, in Upper West Region region. The record category is Others."
Henry Herbert Lartey,GCPP,354,0.1,2020,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 354 votes, representing 0.1%, in Upper West Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,406,0.11,2020,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 406 votes, representing 0.11%, in Upper West Region region. The record category is Others."
Nana Akufo Addo,NPP,100481,14.05,2020,Volta Region,Volta Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 100481 votes, representing 14.05%, in Volta Region region. The record category is NPP."
John Dramani Mahama,NDC,606508,84.83,2020,Volta Region,Volta Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 606508 votes, representing 84.83%, in Volta Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,705,0.1,2020,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 705 votes, representing 0.1%, in Volta Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,220,0.03,2020,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 220 votes, representing 0.03%, in Volta Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,442,0.06,2020,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 442 votes, representing 0.06%, in Volta Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,237,0.03,2020,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 237 votes, representing 0.03%, in Volta Region region. The record category is Others."
Hassan Ayariga,APC,406,0.06,2020,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 406 votes, representing 0.06%, in Volta Region region. The record category is Others."
Bridget Dzogbenuku,PPP,314,0.04,2020,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 314 votes, representing 0.04%, in Volta Region region. The record category is Others."
Akua Donkor,GFP,180,0.03,2020,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 180 votes, representing 0.03%, in Volta Region region. The record category is Others."
Christian Kwabena Andrews,GUM,4679,0.65,2020,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 4679 votes, representing 0.65%, in Volta Region region. The record category is Others."
Henry Herbert Lartey,GCPP,158,0.02,2020,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 158 votes, representing 0.02%, in Volta Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,617,0.09,2020,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 617 votes, representing 0.09%, in Volta Region region. The record category is Others."
Nana Akufo Addo,NPP,439724,50.93,2020,Western Region,Western Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 439724 votes, representing 50.93%, in Western Region region. The record category is NPP."
John Dramani Mahama,NDC,398549,46.16,2020,Western Region,Western Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 398549 votes, representing 46.16%, in Western Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1143,0.13,2020,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 1143 votes, representing 0.13%, in Western Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,305,0.04,2020,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 305 votes, representing 0.04%, in Western Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,508,0.06,2020,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 508 votes, representing 0.06%, in Western Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,367,0.04,2020,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 367 votes, representing 0.04%, in Western Region region. The record category is Others."
Hassan Ayariga,APC,400,0.05,2020,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 400 votes, representing 0.05%, in Western Region region. The record category is Others."
Bridget Dzogbenuku,PPP,787,0.09,2020,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 787 votes, representing 0.09%, in Western Region region. The record category is Others."
Akua Donkor,GFP,379,0.04,2020,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 379 votes, representing 0.04%, in Western Region region. The record category is Others."
Christian Kwabena Andrews,GUM,20638,2.39,2020,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 20638 votes, representing 2.39%, in Western Region region. The record category is Others."
Henry Herbert Lartey,GCPP,223,0.03,2020,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 223 votes, representing 0.03%, in Western Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,417,0.05,2020,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 417 votes, representing 0.05%, in Western Region region. The record category is Others."
Nana Akufo Addo,NPP,175240,46.41,2020,Western Region,Western North Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 175240 votes, representing 46.41%, in Western Region region. The record category is NPP."
John Dramani Mahama,NDC,196556,52.05,2020,Western Region,Western North Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 196556 votes, representing 52.05%, in Western Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,261,0.07,2020,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 261 votes, representing 0.07%, in Western Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,202,0.05,2020,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 202 votes, representing 0.05%, in Western Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,255,0.07,2020,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 255 votes, representing 0.07%, in Western Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,170,0.05,2020,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 170 votes, representing 0.05%, in Western Region region. The record category is Others."
Hassan Ayariga,APC,210,0.06,2020,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 210 votes, representing 0.06%, in Western Region region. The record category is Others."
Bridget Dzogbenuku,PPP,86,0.02,2020,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 86 votes, representing 0.02%, in Western Region region. The record category is Others."
Akua Donkor,GFP,119,0.03,2020,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 119 votes, representing 0.03%, in Western Region region. The record category is Others."
Christian Kwabena Andrews,GUM,4302,1.14,2020,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 4302 votes, representing 1.14%, in Western Region region. The record category is Others."
Henry Herbert Lartey,GCPP,109,0.03,2020,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 109 votes, representing 0.03%, in Western Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,117,0.03,2020,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 117 votes, representing 0.03%, in Western Region region. The record category is Others."
Nana Akufo Addo,NPP,123139,55.11,2016,Brong Ahafo Region,Ahafo Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 123139 votes, representing 55.11%, in Brong Ahafo Region region. The record category is NPP."
John Dramani Mahama,NDC,98272,43.98,2016,Brong Ahafo Region,Ahafo Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 98272 votes, representing 43.98%, in Brong Ahafo Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,230,0.1,2016,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 230 votes, representing 0.1%, in Brong Ahafo Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,185,0.08,2016,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 185 votes, representing 0.08%, in Brong Ahafo Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,82,0.04,2016,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 82 votes, representing 0.04%, in Brong Ahafo Region region. The record category is Others."
Bridget Dzogbenuku,PPP,1205,0.54,2016,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 1205 votes, representing 0.54%, in Brong Ahafo Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,37,0.02,2016,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 37 votes, representing 0.02%, in Brong Ahafo Region region. The record category is Others."
Nana Akufo Addo,NPP,1640694,75.98,2016,Ashanti Region,Ashanti Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 1640694 votes, representing 75.98%, in Ashanti Region region. The record category is NPP."
John Dramani Mahama,NDC,503497,23.32,2016,Ashanti Region,Ashanti Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 503497 votes, representing 23.32%, in Ashanti Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1817,0.08,2016,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 1817 votes, representing 0.08%, in Ashanti Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,1317,0.06,2016,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 1317 votes, representing 0.06%, in Ashanti Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,704,0.03,2016,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 704 votes, representing 0.03%, in Ashanti Region region. The record category is Others."
Bridget Dzogbenuku,PPP,9969,0.46,2016,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 9969 votes, representing 0.46%, in Ashanti Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,332,0.02,2016,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 332 votes, representing 0.02%, in Ashanti Region region. The record category is Others."
Nana Akufo Addo,NPP,243904,60.3,2016,Brong Ahafo Region,Bono Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 243904 votes, representing 60.3%, in Brong Ahafo Region region. The record category is NPP."
John Dramani Mahama,NDC,155488,38.44,2016,Brong Ahafo Region,Bono Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 155488 votes, representing 38.44%, in Brong Ahafo Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,588,0.15,2016,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 588 votes, representing 0.15%, in Brong Ahafo Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,441,0.11,2016,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 441 votes, representing 0.11%, in Brong Ahafo Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,385,0.1,2016,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 385 votes, representing 0.1%, in Brong Ahafo Region region. The record category is Others."
Bridget Dzogbenuku,PPP,3296,0.81,2016,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 3296 votes, representing 0.81%, in Brong Ahafo Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,130,0.03,2016,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 130 votes, representing 0.03%, in Brong Ahafo Region region. The record category is Others."
Nana Akufo Addo,NPP,164104,45.83,2016,Brong Ahafo Region,Bono East Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 164104 votes, representing 45.83%, in Brong Ahafo Region region. The record category is NPP."
John Dramani Mahama,NDC,189029,52.79,2016,Brong Ahafo Region,Bono East Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 189029 votes, representing 52.79%, in Brong Ahafo Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,721,0.2,2016,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 721 votes, representing 0.2%, in Brong Ahafo Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,625,0.17,2016,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 625 votes, representing 0.17%, in Brong Ahafo Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,187,0.05,2016,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 187 votes, representing 0.05%, in Brong Ahafo Region region. The record category is Others."
Bridget Dzogbenuku,PPP,2897,0.81,2016,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 2897 votes, representing 0.81%, in Brong Ahafo Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,186,0.05,2016,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 186 votes, representing 0.05%, in Brong Ahafo Region region. The record category is Others."
Nana Akufo Addo,NPP,496668,53.22,2016,Central Region,Central Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 496668 votes, representing 53.22%, in Central Region region. The record category is NPP."
John Dramani Mahama,NDC,405262,43.43,2016,Central Region,Central Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 405262 votes, representing 43.43%, in Central Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,2541,0.27,2016,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 2541 votes, representing 0.27%, in Central Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,800,0.09,2016,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 800 votes, representing 0.09%, in Central Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,529,0.06,2016,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 529 votes, representing 0.06%, in Central Region region. The record category is Others."
Bridget Dzogbenuku,PPP,25737,2.76,2016,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 25737 votes, representing 2.76%, in Central Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,496,0.05,2016,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 496 votes, representing 0.05%, in Central Region region. The record category is Others."
Nana Akufo Addo,NPP,678514,62.37,2016,Eastern Region,Eastern Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 678514 votes, representing 62.37%, in Eastern Region region. The record category is NPP."
John Dramani Mahama,NDC,397786,36.56,2016,Eastern Region,Eastern Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 397786 votes, representing 36.56%, in Eastern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,2024,0.19,2016,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 2024 votes, representing 0.19%, in Eastern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,911,0.08,2016,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 911 votes, representing 0.08%, in Eastern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,539,0.05,2016,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 539 votes, representing 0.05%, in Eastern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,6573,0.6,2016,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 6573 votes, representing 0.6%, in Eastern Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,397,0.04,2016,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 397 votes, representing 0.04%, in Eastern Region region. The record category is Others."
Nana Akufo Addo,NPP,1062157,52.42,2016,Greater Accra Region,Greater Accra Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 1062157 votes, representing 52.42%, in Greater Accra Region region. The record category is NPP."
John Dramani Mahama,NDC,946048,46.69,2016,Greater Accra Region,Greater Accra Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 946048 votes, representing 46.69%, in Greater Accra Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,2061,0.1,2016,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 2061 votes, representing 0.1%, in Greater Accra Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,690,0.03,2016,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 690 votes, representing 0.03%, in Greater Accra Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,462,0.02,2016,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 462 votes, representing 0.02%, in Greater Accra Region region. The record category is Others."
Bridget Dzogbenuku,PPP,12922,0.64,2016,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 12922 votes, representing 0.64%, in Greater Accra Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,1028,0.05,2016,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 1028 votes, representing 0.05%, in Greater Accra Region region. The record category is Others."
Nana Akufo Addo,NPP,94066,49.38,2016,Northern Region,North East Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 94066 votes, representing 49.38%, in Northern Region region. The record category is NPP."
John Dramani Mahama,NDC,92395,48.5,2016,Northern Region,North East Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 92395 votes, representing 48.5%, in Northern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,858,0.45,2016,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 858 votes, representing 0.45%, in Northern Region region. The record category is Others."
